time,data_no.,gyro_x,gyro_y,gyro_z,g_x_scaled,g_y_scaled,g_z_scaled,accel_x,accel_y,accel_z,a_x_scaled,a_y_scaled,a_z_scaled,rotation_x,rotation_y
2019-01-28 20:51:46.38,148,-402,261,72,-3.0687,1.9924,0.5496,-84,6704,14768,-0.0051,0.4092,0.9014,24.4155,0.2967
2019-01-28 20:51:46.49,149,-426,0,57,-3.2519,0.0,0.4351,-180,6752,15064,-0.011,0.4121,0.9194,24.1414,0.6247
2019-01-28 20:51:46.60,150,-420,259,57,-3.2061,1.9771,0.4351,-156,6708,14816,-0.0095,0.4094,0.9043,24.3576,0.5496
2019-01-28 20:51:46.72,151,-392,264,76,-2.9924,2.0153,0.5802,-116,6660,14636,-0.0071,0.4065,0.8933,24.4669,0.4133
2019-01-28 20:51:46.83,152,-408,251,54,-3.1145,1.916,0.4122,-172,6688,14776,-0.0105,0.4082,0.9019,24.3513,0.6076
2019-01-28 20:51:46.94,153,-423,509,70,-3.229,3.8855,0.5344,-128,6744,14812,-0.0078,0.4116,0.9041,24.4793,0.4506
2019-01-28 20:51:47.06,154,-415,280,55,-3.1679,2.1374,0.4198,-100,6768,14840,-0.0061,0.4131,0.9058,24.5156,0.3513
2019-01-28 20:51:47.17,155,-413,500,46,-3.1527,3.8168,0.3511,-188,6800,14860,-0.0115,0.415,0.907,24.5873,0.6591
2019-01-28 20:51:47.28,156,-395,253,72,-3.0153,1.9313,0.5496,-136,6744,14688,-0.0083,0.4116,0.8965,24.6613,0.4821
2019-01-28 20:51:47.39,157,-437,15,87,-3.3359,0.1145,0.6641,-184,6720,14820,-0.0112,0.4102,0.9045,24.3898,0.6478
2019-01-28 20:51:47.51,158,-405,278,62,-3.0916,2.1221,0.4733,-236,6708,14780,-0.0144,0.4094,0.9021,24.4085,0.833
2019-01-28 20:51:47.62,159,-389,284,82,-2.9695,2.1679,0.626,-116,6720,14776,-0.0071,0.4102,0.9019,24.455,0.4094
2019-01-28 20:51:47.73,160,-415,261,75,-3.1679,1.9924,0.5725,-60,6688,14772,-0.0037,0.4082,0.9016,24.3584,0.212
2019-01-28 20:51:47.85,161,-405,272,47,-3.0916,2.0763,0.3588,-172,6692,14816,-0.0105,0.4084,0.9043,24.306,0.6062
2019-01-28 20:51:47.96,162,-431,273,58,-3.2901,2.084,0.4427,-172,6760,14748,-0.0105,0.4126,0.9001,24.6237,0.6074
2019-01-28 20:51:48.07,163,-411,279,85,-3.1374,2.1298,0.6489,-176,6680,14912,-0.0107,0.4077,0.9102,24.129,0.6171
2019-01-28 20:51:48.19,164,-440,265,87,-3.3588,2.0229,0.6641,-116,6704,14732,-0.0071,0.4092,0.8992,24.4679,0.4106
2019-01-28 20:51:48.30,165,-401,252,59,-3.0611,1.9237,0.4504,-104,6648,14796,-0.0063,0.4058,0.9031,24.1944,0.3673
2019-01-28 20:51:48.41,166,-421,274,62,-3.2137,2.0916,0.4733,-196,6756,14776,-0.012,0.4124,0.9019,24.5693,0.6912
2019-01-28 20:51:48.53,167,-420,287,78,-3.2061,2.1908,0.5954,-252,6416,14592,-0.0154,0.3916,0.8906,23.7316,0.9057
2019-01-28 20:51:48.64,168,-420,255,75,-3.2061,1.9466,0.5725,-240,6660,14700,-0.0146,0.4065,0.8972,24.3706,0.852
